201103,3,94,50,95,22,0,1,0,0,0,0,413,309,0,0,0,0,0,0,0,0,2,0
201104,4,86,32,89,32,0,0,0,0,0,0,405,316,1,1,0,1,0,0,0,1,1,0
201105,5,92,54,113,20,0,0,0,1,0,0,455,301,2,0,0,0,0,0,0,0,0,0
201106,6,98,55,81,16,0,0,0,0,0,0,423,324,3,2,0,1,0,0,0,1,0,0
201108,8,82,29,65,15,0,0,0,1,0,0,429,285,5,1,0,0,0,0,0,0,0,0
201112,12,88,54,63,9,0,2,0,0,0,0,357,279,0,0,0,0,0,0,0,1,0,0
201201,1,74,29,69,11,0,0,0,0,0,0,232,172,3,0,0,0,0,0,0,0,0,0
201202,2,59,35,61,12,0,0,0,0,0,0,358,235,2,0,0,0,0,0,0,0,0,0
201203,3,89,38,94,19,0,0,0,0,0,0,383,349,2,0,0,0,0,0,0,1,0,0
201205,5,89,38,94,19,0,0,0,0,0,0,383,349,2,0,0,0,0,0,0,1,0,0
201206,6,90,36,74,12,0,0,0,0,0,0,383,274,0,2,0,0,0,0,0,0,0,0
201207,7,67,53,68,24,0,0,0,0,0,0,411,331,3,1,0,0,0,0,0,1,0,0
201208,8,90,43,52,13,0,0,0,0,0,0,359,306,2,0,0,0,0,0,0,0,2,0
201209,9,63,42,61,15,0,0,0,0,0,0,419,339,3,3,0,0,0,0,0,0,1,1
201301,1,72,46,60,10,0,0,0,0,0,0,344,236,3,1,0,0,0,0,0,1,0,0
201303,3,407,86,5,0,207,3826,0,0,4,1376,1351,10021,0,0,0,9,412,1925,257,580,0,0
201304,4,40,18,54,13,0,0,0,0,0,0,283,148,0,0,0,0,0,0,0,0,0,0
201305,5,65,33,42,13,0,1,0,0,0,0,396,281,1,0,0,1,0,0,0,0,1,0
201306,6,72,37,58,15,0,1,0,0,0,0,450,341,2,0,0,1,0,0,0,0,0,0
